#,Vocabulary,Reading,Type,Meaning
532,嬉しい,うれしい,"Adjective, い-adjective",happy
533,売り場,うりば,Noun,selling area
534,嘘,うそ,Noun,a lie
535,打つ,うつ,"Verb, Godan verb, Transitive verb",to hit
536,美しい,うつくしい,"Adjective, い-adjective",beautiful
537,移る,うつる,"Verb, Godan verb, Intransitive verb",to move house or transfer
538,写す,うつす,"Verb, Godan verb, Transitive verb",to copy or photograph
539,ワープロ,,"Noun, Katakana",word processor
540,別れる,わかれる,"Verb, Ichidan verb, Intransitive verb",to separate
541,沸かす,わかす,"Verb, Godan verb, Transitive verb",to boil; to heat
542,沸く,わく,"Verb, Godan verb, Intransitive verb",to boil
543,笑う,わらう,"Verb, Godan verb, Intransitive verb",to laugh; to smile
544,割れる,われる,"Verb, Ichidan verb, Intransitive verb",to break
545,割合,わりあい,Noun,rate; ratio
546,忘れ物,わすれもの,Noun,lost article
547,焼ける,やける,"Verb, Ichidan verb, Intransitive verb",to burn; to be roasted
548,焼く,やく,"Verb, Godan verb, Transitive verb",to bake; to grill
549,役に立つ,やくにたつ,"Verb, Godan verb, Expression",to be helpful
550,約束,やくそく,"Noun, Suru verb",promise
551,止む,やむ,"Verb, Godan verb, Intransitive verb",to stop
552,やっぱり,,Adverb,as I thought
553,優しい,やさしい,"Adjective, い-adjective",kind
554,痩せる,やせる,"Verb, Ichidan verb, Intransitive verb",to become thin
555,柔らかい,やわらかい,"Adjective, い-adjective",soft
556,汚れる,よごれる,"Verb, Ichidan verb, Intransitive verb",to get dirty
557,喜ぶ,よろこぶ,"Verb, Godan verb",to be delighted
558,寄る,よる,"Verb, Godan verb, Intransitive verb",to visit; to drop by
559,予習,よしゅう,"Noun, Verb, Suru verb",preparation for a lesson
560,予定,よてい,"Noun, Suru verb",plan
561,用,よう,"Noun, Suffix",business; task; errand; use; purpose
562,用意,ようい,"Noun, Verb, Suru verb",preparation; arrangements; provision; getting ready
563,用事,ようじ,Noun,tasks; things to do; errand; business (to take care of)
564,予約,よやく,"Noun, Suru verb",reservation
565,湯,ゆ,Noun,hot water
566,指,ゆび,Noun,finger
567,指輪,ゆびわ,Noun,finger ring
568,夢,ゆめ,Noun,dream
569,揺れる,ゆれる,"Verb, Ichidan verb, Intransitive verb",to shake
570,残念,ざんねん,"Noun, Adjective, な-adjective",regrettable; unfortunate
571,全然,ぜんぜん,Adverb,not entirely (used in a negative sentence)
