#,Grammar Lesson,Grammar Meaning,Source
146,途中で/途中に（とちゅうで/とちゅうに）,on the way; in the middle of ~,https://jlptsensei.com/learn-japanese-grammar/%e9%80%94%e4%b8%ad%e3%81%a7-%e9%80%94%e4%b8%ad%e3%81%ab-tochuu-de-tochuu-ni-meaning/
147,ところで,by the way ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%93%e3%82%8d%e3%81%a7-tokoro-de-meaning/
148,ところが,even so; however; even though ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%93%e3%82%8d%e3%81%8c-tokoro-ga-meaning/
149,とおりに,in the same way as; in the way; as ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%8a%e3%82%8a%e3%81%ab-toori-ni-meaning/
150,通す（とおす）,to do until the end; to continually do; through ~,https://jlptsensei.com/learn-japanese-grammar/%e9%80%9a%e3%81%99-%e3%81%a8%e3%81%8a%e3%81%99-toosu-meaning/
151,として,as; in the role of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%97%e3%81%a6-toshite-meaning/
152,とても～ない,cannot possibly be; hardly ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%a6%e3%82%82%ef%bd%9e%e3%81%aa%e3%81%84-totemo-nai-meaning/
153,とは限らない（とはかぎらない）,not necessarily so; is not always true,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a8%e3%81%af%e9%99%90%e3%82%89%e3%81%aa%e3%81%84-towa-kagiranai-meaning/
154,つい,accidentally; unintentionally; by mistake,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a4%e3%81%84-tsui-meaning/
155,ついに,finally; at last; in the end ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a4%e3%81%84%e3%81%ab-tsui-ni-meaning/
156,ついでに,"while, incidentally, at the same time, on the way ~",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a4%e3%81%84%e3%81%a7%e3%81%ab-tsuide-ni-meaning/
157,つまり,in other words; in summary; in short ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a4%e3%81%be%e3%82%8a-tsumari-meaning/
158,つもりだった,I thought I~; I believe I~; was planning to~; was intending to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a4%e3%82%82%e3%82%8a%e3%81%a0%e3%81%a3%e3%81%9f-tsumori-datta-meaning/
159,つもりで,with the intention of doing ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a4%e3%82%82%e3%82%8a%e3%81%a7-tsumori-de-meaning/
160,うちに,while; before ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%86%e3%81%a1%e3%81%ab-uchi-ni-meaning/
161,上で（うえで）,upon; after; when; for; in order to,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%8a%e3%81%a7-%e3%81%86%e3%81%88%e3%81%a7-ue-de-meaning/
162,上に（うえに）,as well; besides; in addition to; not only… but also ~,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%8a%e3%81%ab-ue-ni-meaning/
163,は別として（はべつとして）,aside from; apart from; except for; whether or not ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%af%e5%88%a5%e3%81%a8%e3%81%97%e3%81%a6-wa-betsu-toshite-meaning/
164,はもちろん,not to mention; not only ... but also ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%af%e3%82%82%e3%81%a1%e3%82%8d%e3%82%93-wa-mochiron-meaning/
165,は～で有名（は～でゆうめい）,famous for ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%af%ef%bd%9e%e3%81%a7%e6%9c%89%e5%90%8d-wa-de-yuumei-meaning/
166,わけだ,for that reason; no wonder; as you’d expect; the fact is; so you mean ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%8f%e3%81%91%e3%81%a0-wake-da-meaning/
167,わけではない,it doesn’t mean that; it is not the case that; I don’t mean that; it is not true that ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%8f%e3%81%91%e3%81%a7%e3%81%af%e3%81%aa%e3%81%84-wake-dewa-nai-%e3%82%8f%e3%81%91%e3%81%98%e3%82%83%e3%81%aa%e3%81%84-wake-janai-meaning/
168,わけがない,there is no way that; it is impossible to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%8f%e3%81%91%e3%81%8c%e3%81%aa%e3%81%84-wake-ga-nai-meaning/
169,わけにはいかない,"must not; cannot afford to; must, have no choice but to ~",https://jlptsensei.com/learn-japanese-grammar/%e3%82%8f%e3%81%91%e3%81%ab%e3%81%af%e3%81%84%e3%81%8b%e3%81%aa%e3%81%84-wake-niwa-ikanai-meaning/
170,割に（わりに）,considering; comparatively; relatively; unexpectedly; unusually ~,https://jlptsensei.com/learn-japanese-grammar/%e5%89%b2%e3%81%ab-%e3%82%8f%e3%82%8a%e3%81%ab-wari-ni-meaning/
171,わざと,on purpose; intentionally ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%8f%e3%81%96%e3%81%a8-wazato-meaning/
172,わざわざ,to go to the trouble of; to go out of one's way to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%8f%e3%81%96%e3%82%8f%e3%81%96-wazawaza-meaning/
173,よりも,in comparison to; rather than; more than ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%88%e3%82%8a%e3%82%82-yorimo-meaning/
174,ようがない,there is no way to; it’s impossible to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%88%e3%81%86%e3%81%8c%e3%81%aa%e3%81%84-you-ga-nai-meaning/
175,ような気がする（ようなきがする）,have a feeling that; feels like; seems like; think that ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%88%e3%81%86%e3%81%aa%e6%b0%97%e3%81%8c%e3%81%99%e3%82%8b-you-na-ki-ga-suru-meaning/
176,ように,"in order to, so that ~",https://jlptsensei.com/learn-japanese-grammar/%e3%82%88%e3%81%86%e3%81%ab-you-ni-meaning-in-order-to/
177,ように見える（ようにみえる）,to look; to seem; to appear ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%88%e3%81%86%e3%81%ab%e8%a6%8b%e3%81%88%e3%82%8b-you-ni-mieru-meaning/
178,ようとしない,not try to; not make an effort to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%88%e3%81%86%e3%81%a8%e3%81%97%e3%81%aa%e3%81%84-you-to-shinai-meaning/
179,ようとする,try to; attempt to; be about to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%82%88%e3%81%86%e3%81%a8%e3%81%99%e3%82%8b-you-to-suru-meaning/
180,ずに,without doing ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9a%e3%81%ab-zuni-meaning/
181,ずにはいられない,can’t help but feel; can’t help but do; must do ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%9a%e3%81%ab%e3%81%af%e3%81%84%e3%82%89%e3%82%8c%e3%81%aa%e3%81%84-zu-ni-wa-irarenai-meaning/
182,ずつ,apiece; each; at a time,https://jlptsensei.com/learn-japanese-grammar/jlpt-n3-grammar-%e3%81%9a%e3%81%a4-zutsu-meaning/
