#,Vocabulary,Reading,Type,Meaning,Sentence JP,Sentence EN
264,空気,くうき,Noun,air,ここは空気がきれいです。,The air is clean here.
265,空港,くうこう,Noun,airport,私はくうこうで友達に会った。,I met a friend of mine at the airport.
266,客,きゃく,Noun,guest; customer,このきゃくはすごく失礼です。,This customer is extremely rude.
267,教育,きょういく,"Noun, Suru verb",education,それは子供のきょういくに良くない。,That is not good for children's education.
268,教会,きょうかい,Noun,church; congregation; Christian church,あなたは、明日、教会に行きますか？,Will you be going to church tomorrow?
269,興味,きょうみ,Noun,interest (in something); curiosity (about something); zest (for),私はあなたがこれに興味を持ってくれたらうれしいです。,I would be happy if you find this interesting.
270,競争,きょうそう,"Noun, Suru verb",competition,私は彼ときょうそうした。,I had a race with him.
271,急,きゅう,"Adjective, な-adjective",sudden; abrupt; unexpected,急に雨が降り始めました。,It suddenly started raining.
272,急行,きゅうこう,"Noun, Verb, Suru verb",hurrying (to somewhere); rushing; hastening,急行の料金はいくらですか。,How much is the express train fare?
273,間違える,まちがえる,"Verb, Ichidan verb, Transitive verb",to make a mistake (in),彼は私を誰かとまちがえる。,He mistakes me for someone.
274,参る,まいる,"Verb, Godan verb, Intransitive verb",(humble) to go; to come,休暇を取らないと、体が参ってしまいますよ。,"If you don't take a vacation, you'll collapse."
275,負ける,まける,"Verb, Ichidan verb, Intransitive verb",to lose,我々が負けることは許されない。,We don't allow losing.
276,漫画,まんが,Noun,comic,今日はずっと漫画を読んでいます。,I have been reading comics all day.
277,間に合う,まにあう,"Verb, Godan verb, Intransitive verb",to be in time (for),母の誕生日に間に合うように帰ります。,I'll be back in time for Mother's birthday.
278,真ん中,まんなか,Noun,middle; centre; center,彼はその写真の真ん中に写っています。,He's right in the middle of that picture.
279,周り,まわり,Noun,around,私の周りにすてきな人がいない。,There is no one wonderful around me.
280,回る,まわる,"Verb, Godan verb, Intransitive verb",to go around,あちこちを見て回るのが好きです。,I like looking around many different places.
281,まず,,Adverb,first of all,あなたはまず何が欲しいか私に教えて下さい。,Please tell me what you want first.
282,召し上がる,めしあがる,"Verb, Godan verb, Transitive verb",to eat; to drink​,何でもご自由に召し上がってください。,Help yourself to anything you'd like to eat.
283,珍しい,めずらしい,"Adjective, い-adjective",unusual; rare,それはとても珍しいです。,That is very unusual.
284,見える,みえる,"Verb, Ichidan verb, Intransitive verb",to be seen; to be in sight; to look; to seem,彼は若く見える。,He looks young.
285,港,みなと,Noun,harbour,それは港のどこに置いてありますか。,Where in the harbor is it located?
286,味噌,みそ,Noun,fermented condiment made from soybeans,私は昨日、味噌汁を飲みました。,I had miso soup yesterday.
287,見つかる,みつかる,"Verb, Godan verb, Intransitive verb",to be found; to be discovered,簡単に見つかると思う。,I'm sure it will be easy to find a place.
288,見つける,みつける,"Verb, Ichidan verb, Transitive verb",to discover; to find; to come across; to detect; to spot,君をここで見つけるとは驚きだ。,I'm surprised to find you here.
289,都,みやこ,Noun,capital,私はフランスの都に行ったことがありますよ。,I have been to the French capital.
290,湖,みずうみ,Noun,lake,彼はみずうみに行くつもりです。,He plans to go the lake.
291,戻る,もどる,"Verb, Godan verb, Intransitive verb",to turn back,私たちは家に戻るつもりです。,We plan on returning home.
292,木綿,もめん,Noun,cotton (material),私は木綿のシャツを２枚買った。,I bought two cotton shirts.
293,森,もり,Noun,forest,あなたは森に行くつもりですか？,Will you go to the forest?
294,もし,,Adverb,if; in case; supposing,もし１億円あったら、いろいろな国を旅行したいです。,"If I had 100 million yen (1 million usd), I would like to travel to various countries."
295,申し上げる,もうしあげる,"Verb, Ichidan verb, Transitive verb",to say; to offer,もうこの上申し上げることはありません。,I have nothing more to say.
296,申す,もうす,"Verb, Godan verb, Transitive verb",to be called; to say,この花は何と申しますか。,What do you call this flower?
297,もうすぐ,,"Adverb, Expression",soon,私はもうすぐ帰ります。,I'll go home soon.
298,迎える,むかえる,"Verb, Ichidan verb, Transitive verb",to go out to meet,彼のひしょが私を迎えてくれた。,His secretary greeted me.
299,昔,むかし,"Noun, Adverbial noun","olden days, former",彼はそれを昔から知っていた。,He knew that since a long time ago.
300,向かう,むかう,"Verb, Godan verb, Intransitive verb",to head towards,あなたのところに向かっていますよ。,I'm heading your way.
301,無理,むり,"Noun, Adjective, な-adjective, Suru verb",impossible,この仕事は僕には無理だ。,The work is too hard for me.
302,虫,むし,Noun,insect,今日は虫が多かったです。,There were a lot of bugs today.
303,息子,むすこ,Noun,son,今日は息子のたんじょうびです。,Today is my son's birthday.
304,娘,むすめ,Noun,daughter,私のむすめは遠くに住んでいます。,My daughter is living far away.
305,投げる,なげる,"Verb, Ichidan verb, Transitive verb",to throw or cast away,あなたはそれを上手に投げることができましたか？,Were you able to throw that well?
306,泣く,なく,"Verb, Godan verb",to weep,彼はまだ泣いている。,He is still crying.
307,無くなる,なくなる,"Verb, Godan verb, Intransitive verb",to disappear; to get lost,あなたはそれが無くなるまで使って下さい。,Please use that until it disappears.
308,亡くなる,なくなる,"Verb, Godan verb, Intransitive verb",to die,彼は70歳で亡くなった。,He died at the age of 70.
309,生,なま,"Noun, Prefix",raw,彼はなまの魚が食べられない。,He can't eat raw fish.
310,直る,なおる,"Verb, Godan verb, Intransitive verb","to be fixed,to be repaired",あなたのパソコンが直って良かったですね。,I'm glad your computer got fixed.
311,治る,なおる,"Verb, Godan verb, Intransitive verb",to be cured; to heal,あなたの病気が治ることを祈っております。,I pray that your illness is cured.
312,慣れる,なれる,"Verb, Ichidan verb, Intransitive verb",to get used to,あなたはすぐに学校に慣れるでしょう。,You will probably get used to school right away.
313,鳴る,なる,"Verb, Godan verb, Intransitive verb",to sound,君の携帯がなっているよ。,Your cell phone is ringing.
314,なるほど,,"Adverb, Expression",now I understand,なるほど、それは間違いかもしれない。,"It may, indeed, be a mistake."
315,寝坊,ねぼう,"Noun, Verb, Suru verb",sleeping in late; oversleeping,私の母は朝寝坊だ。,My mother is a late riser.
316,値段,ねだん,Noun,price; cost,このバッグの値段はいくらですか。,What is the price of this bag?
317,眠い,ねむい,"Adjective, い-adjective",sleepy,今日はとても眠いです。,I'm very sleepy today.
318,眠る,ねむる,"Verb, Godan verb, Intransitive verb",to sleep,今日は早くねむるつもりです。,I intend to sleep early today.
319,熱,ねつ,Noun,fever,彼は熱が出ました。,He got a fever.
320,苦い,にがい,"Adjective, い-adjective",bitter,私は苦いものが好きだ。,I have a fancy for bitter things.
321,逃げる,にげる,"Verb, Ichidan verb, Intransitive verb",to escape,あなたはどこへ逃げるのですか？,Where are you going to run away to?
322,二階建て,にかいだて,Noun,two-storied building,私たちは二階建ての家を買うつもりです。,We are going to buy a two-story house.
323,人形,にんぎょう,Noun,doll,彼女は人形を作っていますか。,Is she making a doll?
324,匂い,におい,Noun,a smell,私は竹の匂いを気に入っている。,I like the smell of bamboo.
325,似る,にる,"Verb, Ichidan verb, Intransitive verb",to be similar,その赤ちゃんは本当に父親に似てる。,The baby really takes after its father.
326,喉,のど,Noun,throat,私ののどが少し痛いです。,My throat hurts a little.
327,残る,のこる,"Verb, Godan verb, Intransitive verb",to remain,彼はそのまま会社にのこる。,He remains in the company like that.
328,乗り換える,のりかえる,"Verb, Ichidan verb, Transitive verb",to change between buses or trains,学校へ行くまでに3回でんしゃを乗り換える。,I change trains 3 times to get to school.
329,乗り物,のりもの,Noun,vehicle,彼はこの乗り物に乗ったことがなかった。,He had never boarded this vehicle.
330,濡れる,ぬれる,"Verb, Ichidan verb, Intransitive verb",to get wet,私は濡れたシャツを着替えます。,I will change my wet shirt.
331,塗る,ぬる,"Verb, Godan verb, Transitive verb",to paint; to plaster,私はその家具に色をぬる。,I'll paint that furniture.
332,盗む,ぬすむ,"Verb, Godan verb, Transitive verb",to steal,お金をぬすむのは良くない。,It is wrong to steal money.
333,入学,にゅうがく,"Noun, Verb, Suru verb",entry to school or university; enrollment,彼はその大学に入学できますか？,Can he enroll at that university?
334,入院,にゅういん,"Noun, Verb, Suru verb",hospitalization,私は3月23日に入院する。,I will go to the hospital on March 23rd.
335,落ちる,おちる,"Verb, Ichidan verb, Intransitive verb",to fall or drop,パソコンが落ちるのではないかと心配です。,I am worried that the computer might fall.
336,踊り,おどり,Noun,a dance,あなたは踊りがとても上手です。,You're really good at dancing.
337,驚く,おどろく,"Verb, Godan verb, Intransitive verb",to be surprised,私はそれを聞いて驚いています。,I am surprised to hear that.
338,踊る,おどる,"Verb, Godan verb, Intransitive verb",to dance,あなたは踊るのが上手ですか？,Are you good at dancing?
339,お出でになる,おいでになる,"Verb, Godan verb, Expression",(respectful) to be,青山の方へお出でになることがありますか。,Do you ever come up Aoyama way?
340,お祝い,おいわい,"Noun, Suru verb",congratulation,何をお祝いするのですか。,What will you celebrate?
341,お嬢さん,おじょうさん,Noun,(another's) daughter,おじょうさんのお名前は？,What's your daughter's name?
342,可笑しい,おかしい,"Adjective, い-adjective",strange or funny,あなたの頭はおかしいです。,You are strange.
343,行う,おこなう,"Verb, Godan verb, Transitive verb",to perform; to do; to carry out,今日は授業をおこなうのですか？,Will you be conducting class today?
344,怒る,おこる,"Verb, Godan verb, Intransitive verb",to be angry,彼女は怒るととても怖い。,She is really scary when she gets mad.
345,起こす,おこす,"Verb, Godan verb, Transitive verb",to wake,あなたを起こしてしまいましたか？,Did I wake you up?
346,億,おく,Numeric,one hundred million,彼は 1 おくドルを持っている。,He's master of a hundred million dollars.
347,屋上,おくじょう,Noun,rooftop​,ヘリコプターはビルの屋上にちゃくりくした。,The copter landed on the roof of the building.
348,遅れる,おくれる,"Verb, Ichidan verb, Intransitive verb",to be late,私は仕事に遅れるでしょう。,I am going to be late for work.
349,贈り物,おくりもの,Noun,present; gift,お子さんは贈り物を気に入ってくれましたか？,Did your children like the presents?
350,送る,おくる,"Verb, Godan verb, Transitive verb",to send,彼にＥメールを送ってくれますか？,Would you please send e-mail him?
351,お祭り,おまつり,Noun,festival,今日はお祭りなんですか？,Is there a festival today?
352,お見舞い,おみまい,Noun,visiting ill or distressed people,私と一緒に彼のお見舞いに行きませんか。,Won't you come with me to see how he's doing?
353,お土産,おみやげ,Noun,souvenir,私はお土産を買いました。,I bought souvenirs.
354,おもちゃ,,Noun,toy,あれらのおもちゃはいくらですか。,How much are those toys?
355,思い出す,おもいだす,"Verb, Godan verb, Transitive verb",to remember,私はこの景色を思い出すだろう。,I probably will remember this scene.
356,表,おもて,Noun,the front,家のおもてに庭があります。,There is a garden on the front of the house.
357,オートバイ,,"Noun, Katakana",motorcycle,少年はオートバイに乗るのが好きだった。,The boy liked to ride on a motorcycle.
358,お礼,おれい,Noun,thanks,私はやっとあなたにお礼が言えました。,I was finally able to give you my thanks.
359,折れる,おれる,"Verb, Ichidan verb, Intransitive verb",to break; to be broken,彼の折れた骨はすぐにくっついた。,His broken bone knitted quickly.
360,下りる,おりる,"Verb, Ichidan verb, Intransitive verb",to get off,彼は汽車から下りるところをつかまった。,He was apprehended as he was getting out of the train.
361,折る,おる,"Verb, Godan verb, Transitive verb",to break or to fold,桜の小枝を折ってはいけない。,Don't break off a twig of the cherry tree.
362,押し入れ,おしいれ,Noun,closet,押し入れの中のものを全部取り出した。,He emptied the closet of everything.
363,仰る,おっしゃる,"Verb, Godan verb, Transitive verb",(respectful) to say,あなたのおっしゃる通りにします。,Whatever you say.
364,お宅,おたく,Noun,your home,明日はお宅の方へ伺います。,I'm going to visit your home tomorrow.
365,音,おと,Noun,sound; note,あの音は何だったのか。,What was that noise?
366,落とす,おとす,"Verb, Godan verb, Transitive verb",to drop,彼はけいたいを海に落とした。,He dropped his cell phone into the sea.
367,お釣り,おつり,Noun,change (for a purchase)​,そのお釣りはいくらでしたか？,How much was the change?
368,夫,おっと,Noun,husband,あなたの夫はどこで育ったのですか。,Where was your husband raised?
369,終わり,おわり,Noun,the end,今日の仕事は終わりにしましょう。,Let's end today's work.
370,親,おや,Noun,parents,私のおやはとても優しいです。,My parents are very nice.
371,泳ぎ方,およぎかた,Noun,way of swimming,彼に泳ぎ方を教えるつもりです。,I will teach him how to swim.
372,パート,,"Noun, Katakana",part; part time,その試験は２つのパートに分かれていた。,The exam was divided into two parts.
373,パソコン,,"Noun, Katakana",personal computer,あなたのパソコンは新しいですか？,Is your computer new?
374,ピアノ,,"Noun, Katakana",piano,彼女はピアノが上手です。,She is good at the piano.
375,プレゼント,,"Noun, Katakana",present; gift,私は母にプレゼントを探しています。,I am looking for a present for my mother.
376,冷房,れいぼう,"Noun, Suru verb",air conditioning,ここの事務所には、どこにも冷房がない。,None of these offices have air-conditioning.
377,レジ,,"Noun, Katakana",cashier​,そのラベルを品物に貼って，レジで精算します。,You stick the label on the item and pay at the cash register.
378,歴史,れきし,Noun,history,私はれきしが好きだ。,I like history.
379,連絡,れんらく,Suru verb,to contact; to get in touch​,私は彼とれんらくが取れない。,I can't get in touch with him.
380,レポート,,"Noun, Katakana",report,いつレポートを提出するのですか。,When do we hand in the report?
381,利用,りよう,"Noun, Verb, Suru verb",use; utilization; application,このカードで図書館を利用できる。,With this card you can access the library.
382,理由,りゆう,Noun,reason,あなたは理由を知っているでしょう。,You know the reason.
383,留守,るす,"Noun, Suru verb",absence,誰が来ても私は留守だと言いなさい。,"Whoever comes, say I am away from home."
384,旅館,りょかん,Noun,traditional inn; Japanese-style lodging,,
385,両方,りょうほう,Noun,both sides,彼は両方のレースに勝てるだろうか。,I doubt whether he will win both races?
386,寂しい,さびしい,"Adjective, い-adjective",lonely,家族と会えないのは寂しいです。,It is lonely not being able to meet with family.
387,下がる,さがる,"Verb, Godan verb, Intransitive verb",to get down,あなたの評価は下がるでしょう。,Your value will probably fall.
388,探す,さがす,"Verb, Godan verb, Transitive verb",to look for,彼は自分のノートを探しています。,He is looking for his notebook.
389,下げる,さげる,"Verb, Ichidan verb, Transitive verb",to lower,私はあなたの価値を下げたくない。,I don't want to lower your price.
390,最後,さいご,Noun,end; last,私はさいごにロンドンで彼を見た。,I saw him last in London.
391,最近,さいきん,"Noun, Adverbial Noun",recently,最近、私は太りました。,I got fat recently.
392,最初,さいしょ,"Noun, Adverbial Noun",beginning; first,私は最初に見たとき、それが何かわからなかった。,I didn't know what that was the first time I saw it.
393,坂,さか,Noun,slope; hill,あなたはこの坂を進んでください。,Please continue on this slope.
394,盛ん,さかん,"Adjective, な-adjective",popularity; prosperous,ここはスキーがさかんな地域です。,This is a region popular for skiing.
395,昨夜,さくや,"Noun, Adverbial Noun",last night,昨夜、何をしましたか？,What did you do last night?
396,サンダル,,"Noun, Katakana",sandal,このサンダルはジーンズにもよく似合います。,These sandals go really well with jeans too.
397,サンドイッチ,,"Noun, Katakana",sandwich,私はサンドイッチを作っていました。,I was making sandwiches.
398,産業,さんぎょう,Noun,industry,私はヘルスケア産業は重要だと思っています。,I think that the health care industry is essential.
399,サラダ,,"Noun, Katakana",salad,もう少しサラダはいかがですか。,Would you like some more salad?
400,再来月,さらいげつ,"Noun, Adverbial Noun",month after next,私の友だちが再来月に初めて日本に来ます。,"In 2 months from now, my friend will come to Japan for the first time."
401,再来週,さらいしゅう,"Noun, Adverbial Noun",week after next,私たちは再来週の日曜日にお会いしましょう。,Let's meet up again on Sunday 2 weeks from now.
402,差し上げる,さしあげる,"Verb, Ichidan verb, Transitive verb",to give,飲み物を差し上げましょうか。,May I offer you a drink?
403,騒ぐ,さわぐ,"Verb, Godan verb, Intransitive verb","to make noise,to be excited",そんなにさわぐな、と彼は私に言った。,"He said to me, 'Don't make such a noise.'"
404,触る,さわる,"Verb, Godan verb, Intransitive verb",to touch,あなたはどこを触っているのですか。,Where are you touching?
405,生物,せいぶつ,Noun,living thing,彼はせいぶつの試験でカンニングした。,He cheated on the biology exam.
406,政治,せいじ,Noun,politics,我々は政治を論じた。,We argued politics.
407,生活,せいかつ,"Noun, Suru verb",to live,私たちの生活は苦しかった。,Our life was difficult.
408,生命,せいめい,Noun,life,私はせいめいほけんに入っています。,I have life insurance.
409,生産,せいさん,"Noun, Suru verb",production,そのせいひんの生産がしゅうりょうする。,That product's production is finishes.
410,西洋,せいよう,Noun,the west; Western countries,西洋料理の店を作るつもりです。,I plan to make a western food style restaurant.
411,世界,せかい,Noun,the world,彼は世界の一周をした。,He traveled around the world.
412,席,せき,Noun,seat,その席を選ぶことができますか。,Can I choose that seat?
413,線,せん,Noun,line,このせんは電気が通っている。,This wire is charged with electricity.
414,背中,せなか,Noun,back (of body),あなたのせなかに何か付いていますよ。,There is something on your back.
415,先輩,せんぱい,Noun,senior,このニックネームは先輩がつけてくれました。,My seniors gave me this nickname.
416,戦争,せんそう,"Noun, Suru verb",war,彼女は戦争でむすこを失った。,She lost her son in the war.
417,説明,せつめい,"Noun, Verb, Suru verb",explanation,彼の説明を聞こう。,Let's hear his explanation.
418,社長,しゃちょう,Noun,company president; manager; director,私は社長になりたい。,I want to become a CEO.
419,社会,しゃかい,Noun,society; public; community; the world,私は社会学を専攻している。,I'm majoring in sociology.
420,市,し,Noun,city,その市はロンドンの東にある。,The city lies east of London.
421,試合,しあい,"Noun, Suru verb","match,game",あのしあいは面白かった。,That match was interesting.
422,叱る,しかる,"Verb, Godan verb, Transitive verb",to scold,私は子どもをひどくしかる。,I am going to scold the kids really bad.
423,仕方,しかた,Noun,way; method,色々なシェアの仕方がいま人気がある。,There are many popular ways to share.
424,試験,しけん,"Noun, Suru verb",examination,私は3日後に試験があります。,I have a test in three days.
425,しっかり,,"Adverb, Suru verb",firmly; steadily,あなたはしっかり寝てくださいね。,Please sleep well.
426,島,しま,Noun,island,その島は日本の西方にある。,The island lies to the west of Japan.
427,市民,市民,Noun,citizen,市民は誰でもそのけんりを奪われてはならない。,No citizen should be deprived of his rights
428,品物,しなもの,Noun,goods; article; thing,品物を金にすることができるか？,Can I turn in some goods for money?
429,新聞社,しんぶんしゃ,Noun,newspaper company,どちらの新聞社にお勤めですか。,Which newspaper company do you work for?
430,親切,しんせつ,"Noun, Adjective, な-adjective",kindness,あなたの家族は親切です。,Your family is nice.
431,失敗,しっぱい,"Noun, Suru verb",failure,今度は失敗しません。,This time it does not fail.
432,調べる,しらべる,"Verb, Ichidan verb, Transitive verb",to investigate,それらを調べておいてください。,Please check them out.
433,知らせる,しらせる,"Verb, Ichidan verb, Transitive verb",to notify,私たちはそれをスタッフに知らせる。,We inform the staff of that.
434,下着,したぎ,Noun,underwear,この下着を洗ってくれる？,Can you wash this underwear?
435,食料品,しょくりょうひん,Noun,food; groceries,食料品は高くなっている。,Food costs are going up.
436,小学校,しょうがっこう,Noun,elementary school,私は小学校で英語を教えています。,I teach English at an elementary school.
437,生じる,しょうじる,"Verb, Ichidan verb, Transitive verb",to produce,この事故は 3 つのミスが重なって生じた。,The accident was caused by a conjunction of three mistakes.
438,紹介,しょうかい,"Noun, Suru verb",introduction,研究のしょうかいをさせてください。,Please allow me to introduce my research.
439,将来,しょうらい,"Noun, Adverbial Noun",future,あなたはしょうらい何になりますか？,What are you going to be in the future?
440,小説,しょうせつ,Noun,novel,僕はしょうせつが大好きだ。,I delight in novels.
441,趣味,しゅみ,Noun,hobby; pastime; preference,私の趣味は君の趣味とまったく違う。,My taste is quite different from yours.
442,習慣,しゅうかん,Noun,habit; custom; cultural practice.,早起きの習慣をつけなさい。 はやおきのしゅうかんをつけなさい。,Accustom yourself to getting up early.
443,祖母,そぼ,Noun,grandmother,祖母は80歳です。,My grandmother is 80 years old.
444,育てる,そだてる,"Verb, Ichidan verb, Transitive verb","to rear,to bring up",彼女はバラを育てるのが趣味です。,Growing roses is her hobby.
445,祖父,そふ,Noun,grandfather,彼は母と祖父と一緒に暮らしている。,He lives together with his mother and grandfather.
446,ソフト,,"Noun, Katakana",soft,そのソフトクリームは高級な牛乳で作られています。,That soft ice cream is made from top quality milk.
447,そんな,,Pre-noun adjectival,that sort of,彼はそんなことを言わないだろう。,He wouldn't say such a thing.
448,それで,,Conjunction,because of that,それで勉強する気になりましたか？,Do you feel like studying then?
449,それほど,,Adverb,to that extent,彼はそれほど背が高くない。,He is not so tall.
450,そろそろ,,Adverb,gradually; soon,この仕事はそろそろ終わるだろう。,This job is likely to finish soon.
451,卒業,そつぎょう,"Noun, Suru verb",graduation,私は卒業したら留学するつもりです。,I will study abroad when I graduate.
452,相談,そうだん,"Noun, Suru verb",to discuss,私は姉にそうだんした。,I consulted with my sister.
453,素晴らしい,すばらしい,"Adjective, い-adjective",wonderful,あなたのギャラリーは素晴らしいだ。,Your gallery is very splendid.
454,滑る,すべる,"Verb, Godan verb, Intransitive verb",to slide; to slip,彼らはボートを川に滑り込ませた。,They slid the boat into the river.
455,凄い,すごい,"Adjective, い-adjective",terrific,あなたはすごいと思います。,I think you're amazing.
456,水道,すいどう,Noun,water supply,今月の水道のりょうきんがずいぶん高いね。,The water bill for this month is quite high.
457,水泳,すいえい,"Noun, Suru verb",swimming,僕はすいえいが下手です。,I'm not very good at swimming.
458,すっかり,,Adverb,completely,すっかり自信を失くしてしまった。,I completely lost my confidence.
459,空く,すく,"Verb, Godan verb, Intransitive verb",to be hungry,この道はいつも混んでいたが今日は空いています。,"This road was always crowded, but today is empty."
460,スクリーン,,"Noun, Katakana",screen,それをスクリーンの真ん中においてください。,Please place it in the center of the screen.
461,隅,すみ,Noun,corner; nook,部屋のすみはほこりがたまりやすい。,Dust is apt to collect in the corners of a room.
462,済む,すむ,"Verb, Godan verb, Intransitive verb",to finish,今日の仕事がすんだ。,I have finished my day's work.
463,砂,すな,Noun,sand,我々は砂の上にかにを見つけた。,We found a crab on the sand.
464,すり,,Noun,pickpocket,そのすりはさっと彼女のバッグに手を入れた。,The pickpocket shot his hand into her bag.
465,スーツケース,,"Noun, Katakana",suitcase,このスーツケースは日本で買いました。,I bought this suitcase in Japan.
466,進む,すすむ,"Verb, Godan verb, Intransitive verb",to make progress,けんきゅうは進んだのですか？,Has the research advanced?
467,ステーキ,,"Noun, Katakana",steak,僕はステーキをもっと欲しいです。,I want more of the steak.
468,ステレオ,,"Noun, Katakana",stereo,私が入った時には、ステレオはベートーベンを演奏していた。,The stereo was playing Beethoven when I entered.
469,捨てる,すてる,"Verb, Ichidan verb, Transitive verb",to throw away,あなたはなぜそれを捨てるのですか。,Why do you throw that away?
470,数学,すうがく,Noun,mathematics; arithmetic,私は数学が苦手だ。,I am bad at math.
471,スーツ,,"Noun, Katakana",suit,明日はスーツを着てきたほうがいいですか。,Should I come wearing a suit tomorrow?
472,正しい,ただしい,"Adjective, い-adjective",right; correct,彼は正しいだと思います。,I think that he is right.
473,退院,たいいん,"Noun, Verb, Suru verb",leaving hospital; discharge from hospital,彼は今は退院をして元気に過ごしている。,"Now, he is out of the hospital and living healthily."
474,台風,たいふう,Noun,typhoon,こんしゅうは台風が来るそうです。,"Apparently, a typhoon is coming this week."
475,タイプ,,Noun,"type,style",あなたの好きなタイプを聞いてもいいですか？,May I hear your favorite male type?
476,たいてい,,"Noun, Adjective, な-adjective, Adverb",usually,彼はたいてい残業をしている。,He is usually doing overtime.
477,たまに,,Adverb,occasionally,彼女はたまに料理をします。,She cooks occasionally.
478,棚,たな,Noun,shelves,そのたなにはあまり本がない。,Not many books are there on that shelf.
479,誕生,たんじょう,"Noun, Suru verb",birth,ペコちゃんは1950年に誕生した。,Peko-chan was created in 1950.
480,楽しみ,たのしみ,"Noun, Adjective, な-adjective",looking forward to​,食事をお楽しみください。,Enjoy your meal!
481,倒れる,たおれる,"Verb, Ichidan verb, Intransitive verb","to fall (over, down)",婦人がたおれるのを見ましたか？,You saw the lady fall?
482,足りる,たりる,"Verb, Ichidan verb, Intransitive verb",to be sufficient; to be enough,それだけで十分足りるだろう。,This should be more than sufficient.
483,足す,たす,"Verb, Godan verb, Transitive verb",to add (numbers / something),６足す４は何ですか？,What is six plus four?
484,畳,たたみ,Noun,Japanese straw mat,彼はたたみの上に横たわっている。,He is lying down on the tatami.
485,建てる,たてる,"Verb, Ichidan verb, Transitive verb",to build,その会社がこうじょうを建てる。,That company is building a factory.
486,訪ねる,たずねる,"Verb, Ichidan verb, Transitive verb",to visit,私は時々ともだちの家を訪ねる。,I visit my friend's house at intervals.
487,尋ねる,たずねる,"Verb, Ichidan verb, Transitive verb",to ask,彼はそれらの名前を私にたずねる。,He asks me of those names.
488,手袋,てぶくろ,Noun,glove,この手袋は私にぴったりだ。,These gloves fit me very well.
489,丁寧,ていねい,"Noun, Adjective, な-adjective",polite,あなたの日本語はていねいです。,Your Japanese is very polite.
490,テキスト,,"Noun, Katakana",text; textbook,私たちはテキストを直しました。,We fixed the text.
491,適当,てきとう,"Noun, Adjective, な-adjective",suitable,あなたはそのもんだいに対しててきとうな答えを出した。,You have given an appropriate answer to the problem.
492,点,てん,Noun,point; dot,検査されるべき点はどれですか？,What is the point which should be tested?
493,店員,てんいん,Noun,employee (of a store); shop assistant; clerk,そこの店員はとても親切です。,The staff there is very kind.
494,テニス,,"Noun, Katakana",tennis,私もテニスが好きです。,I like tennis too.
495,天気予報,てんきよほう,Noun,weather forecast,最近、てんきよほうがよく外れる。,"Recently, the weather reports have been off often."
496,展覧会,てんらんかい,Noun,exhibition,あなたの展覧会が成功しますように。,I hope your exhibition is a success.
497,寺,てら,Noun,temple,その寺は学校のまにしにある。,The temple is located directly west of the school.
498,手伝う,てつだう,"Verb, Godan verb, Transitive verb",to help; to assist; to aid​,私は彼を手伝うべきです。,I should help him.
499,途中,とちゅう,"Noun, Adverbial Noun",on the way,私はとちゅうで彼女にあった。,I met her along the way.
500,届ける,とどける,"Verb, Ichidan verb, Transitive verb",to send​,彼らはにもつを届けることができる。,They can send the luggage.
501,特急,とっきゅう,Noun,"limited express (train, faster than an express)",お急ぎの方は特急列車に乗るのをオススメします。,We recommend the limited express train for those who are in a hurry.
502,床屋,とこや,Noun,barber,私の兄は床屋で働いています。,My brother works at a barber shop.
503,特別,とくべつ,"Noun, Adjective, な-adjective",special; particular; extraordinary; exceptional,それはとても特別だ。,That is very special.
504,特に,とくに,Adverb,particularly; especially; in particular; expressly,特に質問はありません。,I don't have any questions (in particular)
505,泊まる,とまる,"Verb, Godan verb, Intransitive verb",to stay at,どこに泊まるかを決めましたか。,Have you fixed where to stay?
506,止める,とめる,"Verb, Ichidan verb, Transitive verb",to stop something,私たちはなぜそれを止めることができないのですか？,Why is it that we cannot stop that?
507,遠く,とおく,"Noun, Adverbial Noun",distant,彼は遠くを見ている。,He is looking into the far distance.
508,通る,とおる,"Verb, Godan verb, Intransitive verb",to go through,このバスはその大学を通りますか。,Does this bus pass by that university?
509,取り替える,とりかえる,"Verb, Ichidan verb, Transitive verb",to exchange; to swap; to replace,赤いランプがついたら電池を取り替えなさい。,Replace the battery when a red lamp lights up.
510,到頭,とうとう,Adverb,"finally, after all",私の子供がとうとう生まれた。,My baby was finally born.
511,続ける,つづける,"Verb, Ichidan verb, Transitive verb",to continue; to keep up; to keep on,私は努力を続けるつもりです。,I intend to continue my efforts.
512,続く,つづく,"Verb, Godan verb, Intransitive verb",to continue,私はこの平和が続くことを祈ります。,I pray that this peace will continue.
513,都合,つごう,"Noun, Adverb",convenience,ご都合はいかがですか。,What would be convenient for you?
514,捕まえる,つかまえる,"Verb, Ichidan verb, Transitive verb",to catch,彼をふたたび捕まえることは難しい。,It will be hard to catch him again.
515,漬ける,つける,"Verb, Ichidan verb, Transitive verb",to soak; to pickle,母は大豆を水につける。,Mother soaks soybeans in water.
516,月,つき,Noun,moon,月はちきゅうの周りをめぐる。,The moon goes around the earth.
517,付く,つく,"Verb, Godan verb, Intransitive verb",to be attached,靴の底にガムが付いてしまった。,Gum got stuck to the bottom of my shoe.
518,妻,つま,Noun,(humble) wife,私の妻はお弁当を作りました。,My wife made a lunch box.
519,連れる,つれる,"Verb, Ichidan verb, Transitive verb",to take (someone) with one,私は彼を連れてくる。,I bring him.
